"","city","state","city_size","mode","n","percent","moe","state_abb","state_region"
"1","Aberdeen city","South Dakota","Small","Bike",110,0.8,0.5,"SD","North Central"
"2","Acworth city","Georgia","Small","Bike",0,0,0.4,"GA","South"
"3","Addison village","Illinois","Small","Bike",43,0.2,0.3,"IL","North Central"
"4","Adelanto city","California","Small","Bike",0,0,0.5,"CA","West"
"5","Adrian city","Michigan","Small","Bike",121,1.5,1,"MI","North Central"
"6","Agawam Town city","Massachusetts","Small","Bike",0,0,0.2,"MA","Northeast"
"7","Agoura Hills city","California","Small","Bike",84,0.8,1.1,"CA","West"
"8","Aiken city","South Carolina","Small","Bike",23,0.2,0.3,"SC","South"
"9","Alabaster city","Alabama","Small","Bike",0,0,0.2,"AL","South"
"10","Alameda city","California","Small","Bike",576,1.5,0.4,"CA","West"
"11","Alamogordo city","New Mexico","Small","Bike",35,0.3,0.2,"NM","West"
"12","Albany city","Georgia","Small","Bike",77,0.3,0.2,"GA","South"
"13","Albany city","New York","Small","Bike",419,0.9,0.3,"NY","Northeast"
"14","Albany city","Oregon","Small","Bike",281,1.3,0.6,"OR","West"
"15","Albertville city","Alabama","Small","Bike",2,0,0.1,"AL","South"
"16","Alexandria city","Louisiana","Small","Bike",100,0.5,0.3,"LA","South"
"17","Algonquin village","Illinois","Small","Bike",109,0.7,0.6,"IL","North Central"
"18","Alhambra city","California","Small","Bike",198,0.5,0.2,"CA","West"
"19","Aliso Viejo city","California","Small","Bike",85,0.3,0.2,"CA","West"
"20","Allen city","Texas","Small","Bike",21,0,0.1,"TX","South"
"21","Allen Park city","Michigan","Small","Bike",55,0.5,0.4,"MI","North Central"
"22","Alliance city","Ohio","Small","Bike",19,0.2,0.2,"OH","North Central"
"23","Alpharetta city","Georgia","Small","Bike",0,0,0.1,"GA","South"
"24","Altamonte Springs city","Florida","Small","Bike",282,1.3,0.7,"FL","South"
"25","Alton city","Illinois","Small","Bike",10,0.1,0.1,"IL","North Central"
"26","Altoona city","Pennsylvania","Small","Bike",33,0.2,0.2,"PA","Northeast"
"27","Alvin city","Texas","Small","Bike",127,1.2,0.7,"TX","South"
"28","American Fork city","Utah","Small","Bike",32,0.3,0.3,"UT","West"
"29","Ames city","Iowa","Small","Bike",808,2.5,0.6,"IA","North Central"
"30","Anderson city","Indiana","Small","Bike",96,0.4,0.2,"IN","North Central"
"31","Anderson city","South Carolina","Small","Bike",10,0.1,0.2,"SC","South"
"32","Andover city","Minnesota","Small","Bike",22,0.1,0.2,"MN","North Central"
"33","Ankeny city","Iowa","Small","Bike",52,0.2,0.2,"IA","North Central"
"34","Annapolis city","Maryland","Small","Bike",41,0.2,0.2,"MD","South"
"35","Anniston city","Alabama","Small","Bike",12,0.1,0.2,"AL","South"
"36","Apache Junction city","Arizona","Small","Bike",71,0.6,0.6,"AZ","West"
"37","Apex town","North Carolina","Small","Bike",0,0,0.2,"NC","South"
"38","Apopka city","Florida","Small","Bike",79,0.4,0.4,"FL","South"
"39","Apple Valley city","Minnesota","Small","Bike",79,0.3,0.2,"MN","North Central"
"40","Apple Valley town","California","Small","Bike",21,0.1,0.1,"CA","West"
"41","Appleton city","Wisconsin","Small","Bike",399,1.1,0.4,"WI","North Central"
"42","Arcadia city","California","Small","Bike",90,0.4,0.2,"CA","West"
"43","Ardmore city","Oklahoma","Small","Bike",19,0.2,0.3,"OK","South"
"44","Arlington Heights village","Illinois","Small","Bike",154,0.4,0.2,"IL","North Central"
"45","Arnold city","Missouri","Small","Bike",0,0,0.3,"MO","North Central"
"46","Arvin city","California","Small","Bike",0,0,0.6,"CA","West"
"47","Asheboro city","North Carolina","Small","Bike",10,0.1,0.2,"NC","South"
"48","Asheville city","North Carolina","Small","Bike",428,1.1,0.3,"NC","South"
"49","Ashland city","Kentucky","Small","Bike",0,0,0.4,"KY","South"
"50","Ashland city","Ohio","Small","Bike",49,0.6,0.4,"OH","North Central"
"51","Ashland city","Oregon","Small","Bike",560,6.2,1.9,"OR","West"
"52","Atascadero city","California","Small","Bike",58,0.4,0.4,"CA","West"
"53","Athens city","Alabama","Small","Bike",0,0,0.4,"AL","South"
"54","Athens city","Ohio","Small","Bike",208,2.2,0.9,"OH","North Central"
"55","Atlantic City city","New Jersey","Small","Bike",166,1.1,0.6,"NJ","Northeast"
"56","Attleboro city","Massachusetts","Small","Bike",39,0.2,0.2,"MA","Northeast"
"57","Atwater city","California","Small","Bike",18,0.2,0.2,"CA","West"
"58","Auburn city","Alabama","Small","Bike",475,2,0.5,"AL","South"
"59","Auburn city","Maine","Small","Bike",57,0.5,0.5,"ME","Northeast"
"60","Auburn city","New York","Small","Bike",54,0.4,0.4,"NY","Northeast"
"61","Auburn city","Washington","Small","Bike",97,0.3,0.2,"WA","West"
"62","Auburn Hills city","Michigan","Small","Bike",43,0.4,0.4,"MI","North Central"
"63","Austin city","Minnesota","Small","Bike",100,0.9,0.7,"MN","North Central"
"64","Aventura city","Florida","Small","Bike",0,0,0.3,"FL","South"
"65","Avon city","Ohio","Small","Bike",14,0.2,0.2,"OH","North Central"
"66","Avon Lake city","Ohio","Small","Bike",78,0.7,0.7,"OH","North Central"
"67","Avondale city","Arizona","Small","Bike",42,0.1,0.1,"AZ","West"
"68","Azusa city","California","Small","Bike",154,0.7,0.4,"CA","West"
"69","Bainbridge Island city","Washington","Small","Bike",194,1.9,0.9,"WA","West"
"70","Balch Springs city","Texas","Small","Bike",0,0,0.4,"TX","South"
"71","Baldwin Park city","California","Small","Bike",294,1,0.5,"CA","West"
"72","Ballwin city","Missouri","Small","Bike",0,0,0.2,"MO","North Central"
"73","Bangor city","Maine","Small","Bike",50,0.3,0.3,"ME","Northeast"
"74","Banning city","California","Small","Bike",47,0.5,0.5,"CA","West"
"75","Barberton city","Ohio","Small","Bike",8,0.1,0.1,"OH","North Central"
"76","Barnstable Town city","Massachusetts","Small","Bike",49,0.2,0.2,"MA","Northeast"
"77","Barstow city","California","Small","Bike",29,0.3,0.5,"CA","West"
"78","Bartlesville city","Oklahoma","Small","Bike",115,0.7,0.5,"OK","South"
"79","Bartlett city","Tennessee","Small","Bike",36,0.1,0.2,"TN","South"
"80","Bartlett village","Illinois","Small","Bike",28,0.1,0.1,"IL","North Central"
"81","Batavia city","Illinois","Small","Bike",47,0.4,0.4,"IL","North Central"
"82","Battle Creek city","Michigan","Small","Bike",61,0.3,0.2,"MI","North Central"
"83","Bay City city","Michigan","Small","Bike",158,1.1,0.6,"MI","North Central"
"84","Bayonne city","New Jersey","Small","Bike",71,0.2,0.2,"NJ","Northeast"
"85","Baytown city","Texas","Small","Bike",83,0.3,0.3,"TX","South"
"86","Beaumont city","California","Small","Bike",36,0.2,0.2,"CA","West"
"87","Beavercreek city","Ohio","Small","Bike",116,0.5,0.3,"OH","North Central"
"88","Beaverton city","Oregon","Small","Bike",564,1.3,0.4,"OR","West"
"89","Bedford city","Texas","Small","Bike",54,0.2,0.1,"TX","South"
"90","Bell city","California","Small","Bike",234,1.8,0.9,"CA","West"
"91","Bell Gardens city","California","Small","Bike",173,1.1,0.5,"CA","West"
"92","Bella Vista town","Arkansas","Small","Bike",0,0,0.3,"AR","South"
"93","Belleville city","Illinois","Small","Bike",100,0.5,0.3,"IL","North Central"
"94","Bellevue city","Nebraska","Small","Bike",31,0.1,0.1,"NE","North Central"
"95","Bellflower city","California","Small","Bike",177,0.6,0.3,"CA","West"
"96","Bellingham city","Washington","Small","Bike",1578,4,1,"WA","West"
"97","Belmont city","California","Small","Bike",42,0.3,0.3,"CA","West"
"98","Beloit city","Wisconsin","Small","Bike",86,0.6,0.4,"WI","North Central"
"99","Belton city","Missouri","Small","Bike",32,0.3,0.3,"MO","North Central"
"100","Belvidere city","Illinois","Small","Bike",40,0.4,0.6,"IL","North Central"
"101","Benbrook city","Texas","Small","Bike",42,0.4,0.4,"TX","South"
"102","Bend city","Oregon","Small","Bike",844,2.3,0.7,"OR","West"
"103","Benicia city","California","Small","Bike",90,0.7,0.6,"CA","West"
"104","Benton city","Arkansas","Small","Bike",0,0,0.2,"AR","South"
"105","Bentonville city","Arkansas","Small","Bike",24,0.1,0.2,"AR","South"
"106","Bergenfield borough","New Jersey","Small","Bike",39,0.3,0.2,"NJ","Northeast"
"107","Berwyn city","Illinois","Small","Bike",45,0.2,0.2,"IL","North Central"
"108","Bessemer city","Alabama","Small","Bike",0,0,0.3,"AL","South"
"109","Bethel Park municipality","Pennsylvania","Small","Bike",7,0,0.1,"PA","Northeast"
"110","Bethlehem city","Pennsylvania","Small","Bike",84,0.3,0.1,"PA","Northeast"
"111","Bettendorf city","Iowa","Small","Bike",34,0.2,0.2,"IA","North Central"
"112","Beverly city","Massachusetts","Small","Bike",57,0.3,0.2,"MA","Northeast"
"113","Beverly Hills city","California","Small","Bike",87,0.5,0.5,"CA","West"
"114","Biddeford city","Maine","Small","Bike",88,0.8,0.6,"ME","Northeast"
"115","Big Spring city","Texas","Small","Bike",33,0.4,0.4,"TX","South"
"116","Biloxi city","Mississippi","Small","Bike",88,0.4,0.3,"MS","South"
"117","Binghamton city","New York","Small","Bike",208,1.1,0.6,"NY","Northeast"
"118","Birmingham city","Michigan","Small","Bike",21,0.2,0.3,"MI","North Central"
"119","Bismarck city","North Dakota","Small","Bike",271,0.8,0.3,"ND","North Central"
"120","Bixby city","Oklahoma","Small","Bike",22,0.2,0.3,"OK","South"
"121","Blacksburg town","Virginia","Small","Bike",531,3.1,1,"VA","South"
"122","Blaine city","Minnesota","Small","Bike",30,0.1,0.1,"MN","North Central"
"123","Bloomingdale village","Illinois","Small","Bike",0,0,0.3,"IL","North Central"
"124","Bloomington city","Illinois","Small","Bike",205,0.5,0.2,"IL","North Central"
"125","Bloomington city","Indiana","Small","Bike",1260,3.6,0.7,"IN","North Central"
"126","Bloomington city","Minnesota","Small","Bike",239,0.6,0.2,"MN","North Central"
"127","Blue Island city","Illinois","Small","Bike",12,0.1,0.2,"IL","North Central"
"128","Blue Springs city","Missouri","Small","Bike",52,0.2,0.3,"MO","North Central"
"129","Blythe city","California","Small","Bike",12,0.2,0.3,"CA","West"
"130","Boca Raton city","Florida","Small","Bike",438,1.1,0.5,"FL","South"
"131","Bolingbrook village","Illinois","Small","Bike",27,0.1,0.1,"IL","North Central"
"132","Bonita Springs city","Florida","Small","Bike",150,0.9,0.6,"FL","South"
"133","Bossier City city","Louisiana","Small","Bike",101,0.3,0.2,"LA","South"
"134","Bothell city","Washington","Small","Bike",204,1.2,0.7,"WA","West"
"135","Bountiful city","Utah","Small","Bike",44,0.2,0.2,"UT","West"
"136","Bowie city","Maryland","Small","Bike",25,0.1,0.1,"MD","South"
"137","Bowling Green city","Kentucky","Small","Bike",127,0.5,0.3,"KY","South"
"138","Bowling Green city","Ohio","Small","Bike",226,1.5,0.7,"OH","North Central"
"139","Boynton Beach city","Florida","Small","Bike",187,0.6,0.3,"FL","South"
"140","Bozeman city","Montana","Small","Bike",1185,5.8,1.2,"MT","West"
"141","Bradenton city","Florida","Small","Bike",151,0.7,0.5,"FL","South"
"142","Braintree Town city","Massachusetts","Small","Bike",29,0.2,0.2,"MA","Northeast"
"143","Brandon city","Mississippi","Small","Bike",10,0.1,0.1,"MS","South"
"144","Brawley city","California","Small","Bike",22,0.3,0.4,"CA","West"
"145","Brea city","California","Small","Bike",73,0.4,0.3,"CA","West"
"146","Bremerton city","Washington","Small","Bike",221,1.2,0.6,"WA","West"
"147","Brentwood city","California","Small","Bike",11,0.1,0.1,"CA","West"
"148","Brentwood city","Tennessee","Small","Bike",10,0.1,0.1,"TN","South"
"149","Bridgeton city","New Jersey","Small","Bike",3,0,0.1,"NJ","Northeast"
"150","Brighton city","Colorado","Small","Bike",34,0.2,0.2,"CO","West"
"151","Bristol city","Connecticut","Small","Bike",36,0.1,0.1,"CT","Northeast"
"152","Bristol city","Tennessee","Small","Bike",15,0.1,0.2,"TN","South"
"153","Brockton city","Massachusetts","Small","Bike",98,0.2,0.2,"MA","Northeast"
"154","Brookfield city","Wisconsin","Small","Bike",33,0.2,0.2,"WI","North Central"
"155","Brookings city","South Dakota","Small","Bike",454,3.7,1.7,"SD","North Central"
"156","Brooklyn Center city","Minnesota","Small","Bike",147,1.1,0.7,"MN","North Central"
"157","Brooklyn Park city","Minnesota","Small","Bike",53,0.1,0.1,"MN","North Central"
"158","Broomfield city","Colorado","Small","Bike",218,0.7,0.4,"CO","West"
"159","Brownsburg town","Indiana","Small","Bike",0,0,0.3,"IN","North Central"
"160","Brunswick city","Ohio","Small","Bike",12,0.1,0.1,"OH","North Central"
"161","Bryan city","Texas","Small","Bike",454,1.3,0.6,"TX","South"
"162","Buckeye town","Arizona","Small","Bike",27,0.1,0.2,"AZ","West"
"163","Buena Park city","California","Small","Bike",453,1.3,0.7,"CA","West"
"164","Buffalo Grove village","Illinois","Small","Bike",114,0.5,0.3,"IL","North Central"
"165","Bullhead City city","Arizona","Small","Bike",0,0,0.3,"AZ","West"
"166","Burbank city","Illinois","Small","Bike",59,0.5,0.4,"IL","North Central"
"167","Burien city","Washington","Small","Bike",51,0.3,0.2,"WA","West"
"168","Burleson city","Texas","Small","Bike",73,0.4,0.4,"TX","South"
"169","Burlingame city","California","Small","Bike",126,0.9,0.6,"CA","West"
"170","Burlington city","Iowa","Small","Bike",98,0.9,0.9,"IA","North Central"
"171","Burlington city","North Carolina","Small","Bike",0,0,0.2,"NC","South"
"172","Burlington city","Vermont","Small","Bike",1101,5,1.2,"VT","Northeast"
"173","Burnsville city","Minnesota","Small","Bike",127,0.4,0.3,"MN","North Central"
"174","Burton city","Michigan","Small","Bike",14,0.1,0.2,"MI","North Central"
"175","Butte-Silver Bow (balance)","Montana","Small","Bike",42,0.3,0.4,"MT","West"
"176","Cabot city","Arkansas","Small","Bike",0,0,0.3,"AR","South"
"177","Calabasas city","California","Small","Bike",0,0,0.4,"CA","West"
"178","Caldwell city","Idaho","Small","Bike",52,0.3,0.3,"ID","West"
"179","Caledonia village","Wisconsin","Small","Bike",26,0.2,0.2,"WI","North Central"
"180","Calexico city","California","Small","Bike",60,0.5,0.6,"CA","West"
"181","Calumet City city","Illinois","Small","Bike",74,0.5,0.6,"IL","North Central"
"182","Camarillo city","California","Small","Bike",156,0.5,0.3,"CA","West"
"183","Camas city","Washington","Small","Bike",64,0.8,0.5,"WA","West"
"184","Camden city","New Jersey","Small","Bike",84,0.4,0.4,"NJ","Northeast"
"185","Campbell city","California","Small","Bike",432,2,1,"CA","West"
"186","Canton city","Georgia","Small","Bike",0,0,0.4,"GA","South"
"187","Canton city","Ohio","Small","Bike",58,0.2,0.1,"OH","North Central"
"188","Cape Girardeau city","Missouri","Small","Bike",128,0.7,0.8,"MO","North Central"
"189","Carbondale city","Illinois","Small","Bike",381,3.6,1.2,"IL","North Central"
"190","Carlsbad city","New Mexico","Small","Bike",0,0,0.3,"NM","West"
"191","Carmel city","Indiana","Small","Bike",137,0.3,0.2,"IN","North Central"
"192","Carol Stream village","Illinois","Small","Bike",66,0.3,0.4,"IL","North Central"
"193","Carpentersville village","Illinois","Small","Bike",7,0,0.1,"IL","North Central"
"194","Carrboro town","North Carolina","Small","Bike",605,5.3,2.1,"NC","South"
"195","Carrollton city","Georgia","Small","Bike",43,0.5,0.4,"GA","South"
"196","Carson city","California","Small","Bike",85,0.2,0.2,"CA","West"
"197","Carson City","Nevada","Small","Bike",261,1.1,0.6,"NV","West"
"198","Carteret borough","New Jersey","Small","Bike",61,0.6,0.6,"NJ","Northeast"
"199","Casa Grande city","Arizona","Small","Bike",48,0.3,0.2,"AZ","West"
"200","Casper city","Wyoming","Small","Bike",195,0.7,0.3,"WY","West"
"201","Casselberry city","Florida","Small","Bike",72,0.6,0.5,"FL","South"
"202","Castle Rock town","Colorado","Small","Bike",18,0.1,0.1,"CO","West"
"203","Cathedral City city","California","Small","Bike",50,0.2,0.2,"CA","West"
"204","Cedar City city","Utah","Small","Bike",117,1,0.5,"UT","West"
"205","Cedar Falls city","Iowa","Small","Bike",146,0.7,0.4,"IA","North Central"
"206","Cedar Hill city","Texas","Small","Bike",19,0.1,0.1,"TX","South"
"207","Cedar Park city","Texas","Small","Bike",42,0.2,0.2,"TX","South"
"208","Centerville city","Ohio","Small","Bike",3,0,4.1,"OH","North Central"
"209","Central city","Louisiana","Small","Bike",0,0,0.3,"LA","South"
"210","Ceres city","California","Small","Bike",78,0.5,0.6,"CA","West"
"211","Cerritos city","California","Small","Bike",35,0.2,0.2,"CA","West"
"212","Chambersburg borough","Pennsylvania","Small","Bike",28,0.3,0.4,"PA","Northeast"
"213","Champaign city","Illinois","Small","Bike",1075,2.7,0.6,"IL","North Central"
"214","Champlin city","Minnesota","Small","Bike",52,0.4,0.3,"MN","North Central"
"215","Chanhassen city","Minnesota","Small","Bike",35,0.3,0.4,"MN","North Central"
"216","Chapel Hill town","North Carolina","Small","Bike",583,2.2,0.5,"NC","South"
"217","Charleston city","Illinois","Small","Bike",110,1.1,0.7,"IL","North Central"
"218","Charleston city","West Virginia","Small","Bike",49,0.2,0.1,"WV","South"
"219","Charlottesville city","Virginia","Small","Bike",753,3.7,0.9,"VA","South"
"220","Chaska city","Minnesota","Small","Bike",24,0.2,0.2,"MN","North Central"
"221","Chelsea city","Massachusetts","Small","Bike",136,0.8,0.6,"MA","Northeast"
"222","Chester city","Pennsylvania","Small","Bike",104,0.9,0.8,"PA","Northeast"
"223","Chesterfield city","Missouri","Small","Bike",14,0.1,0.1,"MO","North Central"
"224","Cheyenne city","Wyoming","Small","Bike",207,0.7,0.3,"WY","West"
"225","Chicago Heights city","Illinois","Small","Bike",99,0.9,0.8,"IL","North Central"
"226","Chico city","California","Small","Bike",2239,5.8,1,"CA","West"
"227","Chicopee city","Massachusetts","Small","Bike",129,0.5,0.6,"MA","Northeast"
"228","Chillicothe city","Ohio","Small","Bike",14,0.2,0.2,"OH","North Central"
"229","Chino city","California","Small","Bike",97,0.3,0.2,"CA","West"
"230","Chino Hills city","California","Small","Bike",206,0.6,0.7,"CA","West"
"231","Christiansburg town","Virginia","Small","Bike",0,0,0.3,"VA","South"
"232","Cicero town","Illinois","Small","Bike",312,0.9,0.5,"IL","North Central"
"233","Citrus Heights city","California","Small","Bike",137,0.4,0.2,"CA","West"
"234","Claremont city","California","Small","Bike",296,2,0.7,"CA","West"
"235","Clarksville town","Indiana","Small","Bike",27,0.3,0.3,"IN","North Central"
"236","Clearfield city","Utah","Small","Bike",39,0.3,0.3,"UT","West"
"237","Cleburne city","Texas","Small","Bike",0,0,0.3,"TX","South"
"238","Clermont city","Florida","Small","Bike",18,0.2,0.2,"FL","South"
"239","Cleveland city","Tennessee","Small","Bike",51,0.3,0.3,"TN","South"
"240","Cleveland Heights city","Ohio","Small","Bike",197,0.9,0.3,"OH","North Central"
"241","Cliffside Park borough","New Jersey","Small","Bike",39,0.3,0.3,"NJ","Northeast"
"242","Clifton city","New Jersey","Small","Bike",59,0.1,0.2,"NJ","Northeast"
"243","Clinton city","Iowa","Small","Bike",58,0.5,0.4,"IA","North Central"
"244","Clinton city","Mississippi","Small","Bike",0,0,0.3,"MS","South"
"245","Clinton city","Utah","Small","Bike",13,0.1,0.2,"UT","West"
"246","Clovis city","California","Small","Bike",156,0.4,0.2,"CA","West"
"247","Clovis city","New Mexico","Small","Bike",58,0.4,0.3,"NM","West"
"248","Coachella city","California","Small","Bike",15,0.1,0.2,"CA","West"
"249","Coconut Creek city","Florida","Small","Bike",110,0.4,0.3,"FL","South"
"250","Coeur d'Alene city","Idaho","Small","Bike",191,0.9,0.5,"ID","West"
"251","College Park city","Maryland","Small","Bike",433,3.3,1.2,"MD","South"
"252","College Station city","Texas","Small","Bike",1126,2.6,0.5,"TX","South"
"253","Colleyville city","Texas","Small","Bike",25,0.2,0.3,"TX","South"
"254","Collierville town","Tennessee","Small","Bike",5,0,0.1,"TN","South"
"255","Collinsville city","Illinois","Small","Bike",31,0.3,0.3,"IL","North Central"
"256","Colton city","California","Small","Bike",133,0.6,0.6,"CA","West"
"257","Columbia city","Tennessee","Small","Bike",54,0.4,0.5,"TN","South"
"258","Columbus city","Indiana","Small","Bike",99,0.5,0.2,"IN","North Central"
"259","Columbus city","Mississippi","Small","Bike",5,0.1,0.1,"MS","South"
"260","Columbus city","Nebraska","Small","Bike",52,0.5,0.5,"NE","North Central"
"261","Commerce City city","Colorado","Small","Bike",10,0,0.1,"CO","West"
"262","Compton city","California","Small","Bike",154,0.5,0.2,"CA","West"
"263","Concord city","New Hampshire","Small","Bike",93,0.4,0.3,"NH","Northeast"
"264","Concord city","North Carolina","Small","Bike",34,0.1,0.1,"NC","South"
"265","Conroe city","Texas","Small","Bike",126,0.5,0.5,"TX","South"
"266","Conway city","Arkansas","Small","Bike",104,0.4,0.2,"AR","South"
"267","Cookeville city","Tennessee","Small","Bike",34,0.3,0.3,"TN","South"
"268","Coon Rapids city","Minnesota","Small","Bike",101,0.3,0.2,"MN","North Central"
"269","Cooper City city","Florida","Small","Bike",16,0.1,0.1,"FL","South"
"270","Coppell city","Texas","Small","Bike",9,0,0.1,"TX","South"
"271","Copperas Cove city","Texas","Small","Bike",25,0.2,0.2,"TX","South"
"272","Coral Gables city","Florida","Small","Bike",144,0.7,0.5,"FL","South"
"273","Corcoran city","California","Small","Bike",52,1.3,1.1,"CA","West"
"274","Corinth city","Texas","Small","Bike",23,0.2,0.4,"TX","South"
"275","Cornelius town","North Carolina","Small","Bike",7,0.1,0.1,"NC","South"
"276","Coronado city","California","Small","Bike",527,4.8,1.3,"CA","West"
"277","Corsicana city","Texas","Small","Bike",31,0.3,0.4,"TX","South"
"278","Corvallis city","Oregon","Small","Bike",2804,11.2,1.5,"OR","West"
"279","Cottage Grove city","Minnesota","Small","Bike",64,0.4,0.3,"MN","North Central"
"280","Cottonwood Heights city","Utah","Small","Bike",49,0.3,0.2,"UT","West"
"281","Council Bluffs city","Iowa","Small","Bike",132,0.4,0.2,"IA","North Central"
"282","Covina city","California","Small","Bike",134,0.6,0.4,"CA","West"
"283","Covington city","Kentucky","Small","Bike",50,0.3,0.3,"KY","South"
"284","Cranston city","Rhode Island","Small","Bike",92,0.3,0.2,"RI","Northeast"
"285","Crest Hill city","Illinois","Small","Bike",0,0,0.3,"IL","North Central"
"286","Crestview city","Florida","Small","Bike",11,0.1,0.2,"FL","South"
"287","Crown Point city","Indiana","Small","Bike",0,0,0.2,"IN","North Central"
"288","Crystal city","Minnesota","Small","Bike",9,0.1,0.1,"MN","North Central"
"289","Crystal Lake city","Illinois","Small","Bike",0,0,0.1,"IL","North Central"
"290","Cudahy city","California","Small","Bike",74,0.8,0.8,"CA","West"
"291","Culver City city","California","Small","Bike",219,1.1,0.5,"CA","West"
"292","Cumberland city","Maryland","Small","Bike",0,0,0.4,"MD","South"
"293","Cupertino city","California","Small","Bike",221,0.9,0.5,"CA","West"
"294","Cutler Bay town","Florida","Small","Bike",28,0.2,0.2,"FL","South"
"295","Cuyahoga Falls city","Ohio","Small","Bike",56,0.2,0.3,"OH","North Central"
"296","Cypress city","California","Small","Bike",168,0.7,0.4,"CA","West"
"297","Dalton city","Georgia","Small","Bike",29,0.2,0.3,"GA","South"
"298","Dana Point city","California","Small","Bike",75,0.4,0.3,"CA","West"
"299","Danbury city","Connecticut","Small","Bike",51,0.1,0.1,"CT","Northeast"
"300","Dania Beach city","Florida","Small","Bike",102,0.7,0.5,"FL","South"
"301","Danville city","Illinois","Small","Bike",28,0.2,0.2,"IL","North Central"
"302","Danville city","Virginia","Small","Bike",33,0.2,0.1,"VA","South"
"303","Danville town","California","Small","Bike",29,0.2,0.2,"CA","West"
"304","Daphne city","Alabama","Small","Bike",91,0.9,1.3,"AL","South"
"305","Darien city","Illinois","Small","Bike",30,0.3,0.3,"IL","North Central"
"306","Davie town","Florida","Small","Bike",216,0.5,0.3,"FL","South"
"307","Davis city","California","Small","Bike",5691,18.6,1.8,"CA","West"
"308","Daytona Beach city","Florida","Small","Bike",429,1.9,0.7,"FL","South"
"309","De Pere city","Wisconsin","Small","Bike",75,0.6,0.4,"WI","North Central"
"310","Dearborn city","Michigan","Small","Bike",110,0.3,0.1,"MI","North Central"
"311","Dearborn Heights city","Michigan","Small","Bike",32,0.2,0.2,"MI","North Central"
"312","Decatur city","Alabama","Small","Bike",0,0,0.1,"AL","South"
"313","Decatur city","Illinois","Small","Bike",54,0.2,0.1,"IL","North Central"
"314","Deer Park city","Texas","Small","Bike",65,0.4,0.5,"TX","South"
"315","Deerfield Beach city","Florida","Small","Bike",306,0.9,0.4,"FL","South"
"316","DeKalb city","Illinois","Small","Bike",301,1.5,0.6,"IL","North Central"
"317","Del City city","Oklahoma","Small","Bike",0,0,0.3,"OK","South"
"318","Del Rio city","Texas","Small","Bike",125,0.9,0.5,"TX","South"
"319","DeLand city","Florida","Small","Bike",159,1.6,1.2,"FL","South"
"320","Delano city","California","Small","Bike",41,0.3,0.4,"CA","West"
"321","Delaware city","Ohio","Small","Bike",46,0.3,0.2,"OH","North Central"
"322","Delray Beach city","Florida","Small","Bike",188,0.7,0.4,"FL","South"
"323","Deltona city","Florida","Small","Bike",58,0.2,0.2,"FL","South"
"324","Denison city","Texas","Small","Bike",34,0.4,0.4,"TX","South"
"325","Derby city","Kansas","Small","Bike",9,0.1,0.1,"KS","North Central"
"326","Des Moines city","Washington","Small","Bike",24,0.2,0.3,"WA","West"
"327","Des Plaines city","Illinois","Small","Bike",167,0.6,0.3,"IL","North Central"
"328","Desert Hot Springs city","California","Small","Bike",0,0,0.4,"CA","West"
"329","DeSoto city","Texas","Small","Bike",0,0,0.2,"TX","South"
"330","Diamond Bar city","California","Small","Bike",7,0,0.1,"CA","West"
"331","Dinuba city","California","Small","Bike",14,0.2,0.3,"CA","West"
"332","Dodge City city","Kansas","Small","Bike",42,0.3,0.3,"KS","North Central"
"333","Dolton village","Illinois","Small","Bike",0,0,0.3,"IL","North Central"
"334","Doral city","Florida","Small","Bike",5,0,0.1,"FL","South"
"335","Dothan city","Alabama","Small","Bike",51,0.2,0.1,"AL","South"
"336","Douglasville city","Georgia","Small","Bike",1,0,0.1,"GA","South"
"337","Dover city","Delaware","Small","Bike",12,0.1,0.1,"DE","South"
"338","Dover city","New Hampshire","Small","Bike",43,0.3,0.3,"NH","Northeast"
"339","Downers Grove village","Illinois","Small","Bike",176,0.7,0.4,"IL","North Central"
"340","Draper city","Utah","Small","Bike",35,0.2,0.2,"UT","West"
"341","Duarte city","California","Small","Bike",14,0.2,0.2,"CA","West"
"342","Dublin city","California","Small","Bike",69,0.3,0.2,"CA","West"
"343","Dublin city","Ohio","Small","Bike",16,0.1,0.1,"OH","North Central"
"344","Dubuque city","Iowa","Small","Bike",43,0.1,0.1,"IA","North Central"
"345","Duluth city","Georgia","Small","Bike",0,0,0.3,"GA","South"
"346","Duluth city","Minnesota","Small","Bike",343,0.8,0.3,"MN","North Central"
"347","Duncan city","Oklahoma","Small","Bike",18,0.2,0.3,"OK","South"
"348","Duncanville city","Texas","Small","Bike",14,0.1,0.1,"TX","South"
"349","Dunedin city","Florida","Small","Bike",296,1.9,0.8,"FL","South"
"350","Dunwoody city","Georgia","Small","Bike",32,0.1,0.2,"GA","South"
"351","Eagan city","Minnesota","Small","Bike",128,0.4,0.2,"MN","North Central"
"352","Eagle city","Idaho","Small","Bike",48,0.6,0.5,"ID","West"
"353","Eagle Mountain city","Utah","Small","Bike",0,0,0.4,"UT","West"
"354","Eagle Pass city","Texas","Small","Bike",11,0.1,0.2,"TX","South"
"355","Easley city","South Carolina","Small","Bike",11,0.1,0.2,"SC","South"
"356","East Chicago city","Indiana","Small","Bike",0,0,0.3,"IN","North Central"
"357","East Lansing city","Michigan","Small","Bike",1374,6.8,1.2,"MI","North Central"
